VPC ID,Security Group ID,Security Group Name
vpc-f6389293,sg-00683aebc62d33590,emailconfirmation-lambda
vpc-087cbe3049dca4b8e,sg-00855811fc34c973f,TransUnionWEB-SG
vpc-b46459d0,sg-008dca00b5501f148,all-to-all-testing
vpc-828072e5,sg-0181e990acacea33c,FGX-dpo-pentest-plug
vpc-b46459d0,sg-01cb819021ecbc8c4,launch-wizard-3
vpc-b46459d0,sg-025f59fefce99aac6,directpay-v2-dba-bastion-only
vpc-087cbe3049dca4b8e,sg-03002c41953652381,s1-3g-bastion
vpc-087cbe3049dca4b8e,sg-030c832d4dad91339,s1-3g-ntp
vpc-0ff738480149b45ff,sg-041b51b6ec156d19e,dpo-mno-prd-proxy-nlb-sg
vpc-b46459d0,sg-042344190b0bf93fa,nipos-onboarding-confirmation-sg
vpc-b46459d0,sg-043b66f80b79f8b90,3G-Nessus-ListedPorts
vpc-087cbe3049dca4b8e,sg-0458187a70398a2f7,s1-3g-management
vpc-b46459d0,sg-04bdc8d46c346aa94,Traefik-sg
vpc-1ac5a17d,sg-04d7a4a1db1e55edb,dpo-qlik-app
vpc-087cbe3049dca4b8e,sg-04d8ec032bd20f894,s1-3g-incapsula
vpc-b46459d0,sg-04da2803547ecd618,launch-wizard-1
vpc-b46459d0,sg-0566114c6254d7df5,3G-Processing-2
vpc-b46459d0,sg-05cf5bb5127967480,RDP from Bastion
vpc-1ac5a17d,sg-06882c57cf662ef78,RDP-ONLY
vpc-b46459d0,sg-070a338e1d98f242d,dpo-processing-ec2-mno-sg
vpc-b46459d0,sg-07303861,rds-launch-wizard
vpc-b46459d0,sg-07abd40d4546ad2e8,batchservice-alb
vpc-b46459d0,sg-07e93cc79c9ac40e8,3G-FE-Linux
vpc-828072e5,sg-07e95c7e07daac8cc,DPO-SFTP-EC2-SG
vpc-1ac5a17d,sg-0817032df3ac24616,Qlik-Trend-Client
vpc-828072e5,sg-089bf1c23ac5457be,sb-dpo-sg-mp-lb
vpc-b46459d0,sg-08aa1a0932b9ff4af,launch-wizard-4
vpc-b46459d0,sg-08ba6a81db2ac7607,pgza-ssh
vpc-087cbe3049dca4b8e,sg-08d8549db4e0c507c,s1-admin
vpc-087cbe3049dca4b8e,sg-096f60199ce3a45fe,s1-3g-processing-healthcheck
vpc-087cbe3049dca4b8e,sg-097d6c35bfd09e8cf,s1-3g-trendclient
vpc-b46459d0,sg-0acae6ea5dd5579c0,dpo-dtm-sg
vpc-087cbe3049dca4b8e,sg-0af5f03ab9587584b,TransUnionSQL-SG
vpc-0ff738480149b45ff,sg-0b0cefd8da2ae7df2,zabbix-onz-proxy
vpc-b46459d0,sg-0b3454e10d172d039,sumo-pusher-sg
vpc-b46459d0,sg-0ba70301221d514ac,3G-Processing-NLB
vpc-087cbe3049dca4b8e,sg-0bbf8e593578805fa,TransUnionAdmin-SG
vpc-b46459d0,sg-0c87f6306e55e05eb,test-from-pg-office
vpc-b46459d0,sg-0c894a49295dcd33d,dpo-bastion-client-sg
vpc-b46459d0,sg-0cc995a142b7594b6,dpo-remote-whitelist-sg
vpc-087cbe3049dca4b8e,sg-0ccaaffe187bf63fc,s1-nessus
vpc-f6389293,sg-0cde8bbc22a3b5acd,launch-wizard-2
vpc-b46459d0,sg-0ce52bfbdf81dfe74,test-nlb-vpn
vpc-b46459d0,sg-0d0947cbc5ac5374b,RDP Only
vpc-b46459d0,sg-0d2cdc1bdbd18c672,TESTING-80-DELETE
vpc-087cbe3049dca4b8e,sg-0e0bb02ae49a41fff,TransUnionALB-SG
vpc-087cbe3049dca4b8e,sg-0e61215dc1cea18f9,s1-3g-db
vpc-b46459d0,sg-0e96fc7f8a0734e98,dpo-pci-router-destination-sg
vpc-087cbe3049dca4b8e,sg-0ea0bd051fd874d71,s1-3g-iis-fe
vpc-828072e5,sg-0f0d9b3d1e3ff0a34,fgx-mno
vpc-087cbe3049dca4b8e,sg-0f201761483f68011,s1-3g-processing
vpc-b46459d0,sg-0f4ef4b12216c2f38,dpo-processing-sg
vpc-b46459d0,sg-0ff608b4888921683,RDP Only for Isolation
vpc-b46459d0,sg-15b07a6d,Temp-Admin-Access-PG-Office
vpc-b46459d0,sg-18327461,Morneh - Home
vpc-b46459d0,sg-1ac74963,Cardclear
vpc-b46459d0,sg-20a84e59,DRB-TEMP
vpc-b46459d0,sg-2304da5b,3G-Trend
vpc-828072e5,sg-28079b54,SSHAccess
vpc-b46459d0,sg-2be7fd4d,Admin Access From PG-VPN-Teraco
vpc-b46459d0,sg-314d9349,3G-ProcessProxy
vpc-b46459d0,sg-3f94ed46,Access from DBA - Ryltech
vpc-f6389293,sg-48805431,Trend Over Public
vpc-828072e5,sg-5172862c,sb-SG-TEST-ASP-LB
vpc-b46459d0,sg-5bc64822,Access From Internal Pub Zone
vpc-b46459d0,sg-646f221d,Processing Incoming
vpc-1ac5a17d,sg-665faa1b,KaliLinuxSG
vpc-b46459d0,sg-7381550a,Trend Access From Pub
vpc-828072e5,sg-757e8a08,LB-WEB-ASP-TEST
vpc-b46459d0,sg-7aa50802,Qlik Sense
vpc-828072e5,sg-7c584a07,SB-AdminTest
vpc-828072e5,sg-80b245f8,sb-SG-processproxy
vpc-b46459d0,sg-81b05dfd,NTP-sg
vpc-b46459d0,sg-8d4d90f5,ProcessProxyIncoming
vpc-1ac5a17d,sg-9174d8ec,WP-Access
vpc-b46459d0,sg-9fe1e9f9,access from bastion
vpc-828072e5,sg-a98adcd0,sb-SG-Qlik
vpc-1ac5a17d,sg-ab76dad6,WP-HTTP-Access
vpc-b46459d0,sg-b17e7cc8,OpenVAS Scanner
vpc-b46459d0,sg-b48a50cd,RDP From Aero - EX Nairobi
vpc-b46459d0,sg-bb868cdd,http-from-elb
vpc-828072e5,sg-be5ad7c6,3G-DC01
vpc-b46459d0,sg-d47b79ad,OpenVAS Server
vpc-b46459d0,sg-d950c3a3,3g-trendserver
vpc-828072e5,sg-e5a01598,ASP-Access
vpc-828072e5,sg-eececf97,sb-SG-OpenVAS
vpc-b46459d0,sg-f5a5708c,ping from PG
vpc-828072e5,sg-f9b3f184,sandbox-test
